Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Distance,Total Descent,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pilates,4/1/2023 09:08,FALSE,Pilates,0,132,00:59:52,79,112,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,59:51.7,1,0,0,--,00:59:52,00:59:52,--,--
Pilates,2/6/2024 09:31,FALSE,Pilates,0,133,00:45:43,86,109,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:43.4,1,0,0,--,00:45:43,00:45:43,--,--
Pilates,11/26/2023 09:24,FALSE,Pilates,0,133,00:50:28,83,103,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,50:27.5,1,0,0,--,00:50:28,00:50:28,--,--
Pilates,7/21/2023 07:22,FALSE,Pilates,0,133,00:57:34,81,117,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,57:33.8,1,0,0,--,00:57:34,00:57:34,--,--
Pilates,1/13/2024 12:04,FALSE,Pilates,0,134,00:53:00,82,104,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,52:59.6,1,0,0,--,00:53:00,00:53:00,--,--
Pilates,7/5/2023 08:51,FALSE,Pilates,0,134,01:06:08,77,103,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,06:08.1,1,0,0,--,01:06:08,01:06:08,--,--
Pilates,2/5/2024 10:59,FALSE,Pilates,0,136,00:44:57,87,125,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,44:56.7,1,0,0,--,00:44:57,00:44:57,--,--
Pilates,12/28/2023 10:28,FALSE,Pilates,0,136,00:52:42,83,117,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,52:42.2,1,0,0,--,00:52:42,00:52:42,--,--
Pilates,9/22/2023 09:50,FALSE,Pilates,0,136,00:56:30,83,116,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,56:30.0,1,0,0,--,00:56:30,00:56:30,--,--
Pilates,7/19/2023 11:09,FALSE,Pilates,0,136,00:49:43,86,121,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,49:42.7,1,0,0,--,00:49:43,00:49:43,--,--
